basin3d_vocab,description,categories,units
ACT,Acetate (CH3COO),"Biogeochemistry,Anions",mM
Br,Bromide (Br),"Biogeochemistry,Anions",mM
Cl,Chloride (Cl),"Biogeochemistry,Anions",mM
DIN,Dissolved Inorganic Nitrogen (Nitrate + Nitrite),"Biogeochemistry,Anions",mg/L
DTN,Dissolved Total Nitrogen (DTN),"Biogeochemistry,Anions",mM
F,Fluoride (F),"Biogeochemistry,Anions",mM
NO3,Nitrate (NO3),"Biogeochemistry,Anions",mM
NO2,Nitrite (NO2),"Biogeochemistry,Anions",mM
PO4,Phosphate (PO4),"Biogeochemistry,Anions",mM
SO4,Sulfate (SO4),"Biogeochemistry,Anions",mM
S2,Sulfide (S),"Biogeochemistry,Anions",mM
S2O3,Thiosulfate (S2O3),"Biogeochemistry,Anions",mg/L
HCO3,Bicarbonate,"Biogeochemistry,Carbon",mg/L
DIC,Dissolved Inorganic C (DIC),"Biogeochemistry,Carbon",mg/L
DOC,Dissolved Organic Carbon (DOC),"Biogeochemistry,Carbon",mg/L
NPOC,Non-Purgable Organic Carbon (NPOC),"Biogeochemistry,Carbon",mg/L
POC,Particulate Organic C (POC),"Biogeochemistry,Carbon",mg/L
TIC,Total Inorganic Carbon (TIC),"Biogeochemistry,Carbon",mg/L
TOC,Total Organic Carbon (TOC),"Biogeochemistry,Carbon",mg/L
d13C,Carbon (d13C),"Biogeochemistry,Isotopes",per mil
CO2_d13C_soilgas,Carbon in Carbon Dioxide soil gas (CO2-d13C),"Biogeochemistry,Isotopes",per mil
CH4_d13C_soilgas,Carbon in Methane soil gas (CH4-d13C),"Biogeochemistry,Isotopes",per mil
d15N,Nitrogen in Air (Air-d15N),"Biogeochemistry,Isotopes",per mil
N2O_d15N_soilgas,Nitrogen in Nitrous Oxide soil gas (N2O-d15N),"Biogeochemistry,Isotopes",per mil
CO2_d18O_soilgas,Oxygen in Carbon Dioxide soil gas (CO2-d18O),"Biogeochemistry,Isotopes",per mil
N2O_d18O_soilgas,Oxygen in Nitrous Oxide soil gas (N2O-d18O),"Biogeochemistry,Isotopes",per mil
SO4_d34S,Sulfur in Sulfate (SO4-d34S),"Biogeochemistry,Isotopes",per mil
U235,Uranium (U235),"Biogeochemistry,Isotopes",mg/L
H2O_d18O,Water - d18O,"Biogeochemistry,Isotopes",mg/L
H2O_dD,Water - Deuterium (dD),"Biogeochemistry,Isotopes",mg/L
NH4,Ammonium (NH4),"Biogeochemistry,Major Cations",mg/L
Ca,Calcium (Ca),"Biogeochemistry,Major Cations",mg/L
Mg,Magnesium (Mg),"Biogeochemistry,Major Cations",mg/L
K,Potassium (K),"Biogeochemistry,Major Cations",mg/L
Si,Silicon (Si),"Biogeochemistry,Major Cations",mg/L
Na,Sodium (Na),"Biogeochemistry,Major Cations",mg/L
MICRO_COV,Coverage / Relative Abundance,"Biogeochemistry,Microbiology",
