attr_type,basin3d_vocab,datasource_vocab,datasource_desc
OBSERVED_PROPERTY:SAMPLING_MEDIUM,AT:GAS,TA_F,"Air temperature, consolidated from TA_F_MDS and TA_ERA [deg C]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,SRAD:NOT_APPLICABLE,SW_IN_F,"Shortwave radiation, incoming consolidated from SW_IN_F_MDS and SW_IN_ERA (negative values set to zero) [W m-2]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,LWIR_IN:NOT_APPLICABLE,LW_IN_F,"Longwave radiation, incoming, consolidated from LW_IN_F_MDS and LW_IN_ERA [W m-2]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,,VPD_F,"Vapor Pressure Deficit consolidated from VPD_F_MDS and VPD_ERA [hPa]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,APA:GAS,PA,"Atmospheric pressure [kPa]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,APA:GAS,PA_F,"Atmospheric pressure consolidated from PA and PA_ERA [kPa]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,PPT:WATER,P,"Precipitation [mm]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,PPT:WATER,P_F,"Precipitation consolidated from P and P_ERA [mm, mm d-1, mm y-1]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,W_SPD:GAS,WS,"Wind speed [m s-1]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,W_SPD:GAS,WS_F,"Wind speed, consolidated from WS and WS_ERA [m s-1]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,W_DIR:GAS,WD,"Wind direction [Decimal degrees]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,,NETRAD,"Net radiation [W m-2]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,PAR_IN:NOT_APPLICABLE,PPFD_IN,"Photosynthetic photon flux density, incoming [umolPhoton m-2 s-1]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,PAR_IN:NOT_APPLICABLE,PPFD_DIF,"Photosynthetic photon flux density, diffuse incoming [umolPhoton m-2 s-1]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,PAR_REF:NOT_APPLICABLE,PPFD_OUT,"Photosynthetic photon flux density, outgoing [umolPhoton m-2 s-1]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,SRAD:NOT_APPLICABLE,SW_DIF,"Shortwave radiation, diffuse incomin [W m-2]g"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,SRAD:NOT_APPLICABLE,SW_OUT,"Shortwave radiation, outgoing [W m-2]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,LWIR_REF:NOT_APPLICABLE,LW_OUT,"Longwave radiation, outgoing [W m-2]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,CO2:GAS,CO2_F_MDS,"CO2 mole fraction, gapfilled with MDS [umolCO2 mol-1]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,STM:SOLID_PHASE,TS_F_MDS,"Soil temperature, gapfilled with MDS (numeric index # increases with the depth, 1 is shallowest) [deg C]"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,SMO:SOLID_PHASE,SWC_F_MDS,"Soil water content, gapfilled with MDS (numeric index # increases with the depth, 1 is shallowest) [%]"
STATISTIC,MEAN,average,
RESULT_QUALITY,VALIDATED,0,"measured"
RESULT_QUALITY,ESTIMATED,1,"good quality gapfill"
RESULT_QUALITY,ESTIMATED,2,"downscaled from ERA or medium quality gapfill"
RESULT_QUALITY,SUSPECTED,3,"poor quality gapfill"
AGGREGATION_DURATION,HOUR,HH,
AGGREGATION_DURATION,DAY,DD,average from half-hour
AGGREGATION_DURATION,MONTH,MM,average from daily
AGGREGATION_DURATION,YEAR,YY,average from daily
