attr_type,"basin3d_vocab",datasource_vocab,datasource_desc
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,APA:GAS:INSTANT,atmos_pressure,Atmospheric pressure; kPa
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,PPT:WATER:TOTAL,"pwd_cumul_rain","PWD cumulative liquid precipitation; mm"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,AT:GAS:MEAN,"temp_mean","Temperature mean; degC"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,RH:GAS:MEAN,"rh_mean","Relative humidity mean; %"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,W_DIR:GAS:MEAN,"wdir_vec_mean","Wind direction vector mean; degree"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,W_SPD:GAS:MEAN,"wspd_arith_mean","Wind speed arithmetic mean; m/s"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,DP:GAS:INSTANT,"cmh_dew_point","CMH dew point; degC"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,RH:GAS:INSTANT,cmh_rh,"CMH relative humidity, calculated; %"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,AT:GAS:INSTANT,cmh_temp,CMH temperature; degC
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,DP:GAS:MEAN,"dew_point_mean","Dew point mean, calculated; degC"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,PPT_SF:SOLID_PHASE:TOTAL,"pwd_cumul_snow","PWD cumulative snow; mm"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,PPT:WATER:TOTAL,tbrg_precip_total,"TBRG precipitation total; mm"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,W_DIR:GAS:MEAN,"wdir_vec_mean_aux","Wind direction vector mean, auxiliary sensor; degree"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,W_SPD:GAS:MEAN,"wspd_arith_mean_aux","Wind speed arithmetic mean, auxiliary sensor; m/s"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,PPT:WATER:TOTAL,tbrg_precip_total_corr,"TBRG precipitation total, corrected; mm"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,DP:GAS:INSTANT,"dew_point","Dew point; degC"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,RH:GAS:INSTANT,rh,Relative humidity; %
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,SD:SOLID_PHASE:INSTANT,"snow_depth","Snow depth; cm"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,AT:GAS:INSTANT,temp,Temperature; degC
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,RH:GAS:MEAN,"relh_mean","Relative humidity mean; %"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,W_DIR:GAS:MEAN,"wind_dir_vec_avg","Wind direction vector average; deg"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,W_SPD:GAS:MEAN,"wind_spd_arith_avg","Wind speed arithmetic average; m/s"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,W_SPD:GAS:MAX,"wind_spd_arith_max","Wind speed arithmetic maximum; m/s"
OBSERVED_PROPERTY:SAMPLING_MEDIUM:STATISTIC,W_SPD:GAS:MIN,"wind_spd_arith_min","Wind speed arithmetic minimum; m/s"
AGGREGATION_DURATION,MINUTE,MINUTE,
RESULT_QUALITY,VALIDATED,0,"Non-zero bits indicate the QC condition given in the description for those bits; a value of 0 (no bits set) indicates the data has not failed any QC tests."
RESULT_QUALITY,REJECTED,0001,"Bad; Value is equal to missing_value."
RESULT_QUALITY,REJECTED,0010,"Bad; Value is less than valid_min."
RESULT_QUALITY,REJECTED,0100,"Bad; Value is less than valid_max."
RESULT_QUALITY,SUSPECTED,1000,"Indeterminate; Difference between current and previous values exceeds valid_delta."
