attr_type,basin3d_vocab,datasource_vocab,datasource_desc
SAMPLING_MEDIUM,GAS,Air,"the invisible gaseous substance surrounding the earth, a mixture of nitrogen, oxygen, and minute amounts of other gases that forms earth's atmosphere"
SAMPLING_MEDIUM,OTHER,Biological,relating to biology or living organisms
SAMPLING_MEDIUM,OTHER,Habitat,"the natural home or environment of an animal, plant, or other organism."
SAMPLING_MEDIUM,OTHER,Other,other; the area or natural environment in which an organism or substance is found
SAMPLING_MEDIUM,SOLID_PHASE,Sediment,"matter that settles to the bottom of a liquid; dregs; Geology Solid fragmented material, such as silt, sand, gravel, chemical precipitates, and fossil fragments, that is transported and deposited by water, ice, or wind or that accumulates through chemical precipitation or secretion by organisms, and that forms layers on the Earth's surface."
SAMPLING_MEDIUM,SOLID_PHASE,Soil,"the loose top layer of the Earth's surface, a black or dark brown material consisting of rock and mineral particles mixed with decayed organic matter (humus), and capable of retaining water, providing nutrients for plants, and supporting a wide range of biotic communities."
SAMPLING_MEDIUM,SOLID_PHASE,Tissue,an aggregate of cells usually of a particular kind together with their intercellular substance that form one of the structural materials of a plant or an animal
SAMPLING_MEDIUM,WATER,Water,"a colorless, transparent, odorless, tasteless liquid that forms the seas, lakes, rivers, and rain and is the basis of the fluids of living organisms."
RESULT_QUALITY,VALIDATED,Accepted,Reported result has been accepted; Water Quality Portal visible.
RESULT_QUALITY,VALIDATED,Final,"Publishable, released to public; Water Quality Portal visible."
RESULT_QUALITY,UNVALIDATED,Preliminary,"Internal use only, not released to public."
RESULT_QUALITY,UNVALIDATED,Provisional,"Reported result has not been verified, not undergone all QC procedures; Water Quality Portal visible."
RESULT_QUALITY,UNVALIDATED,Raw,"State of original collection, not undergone any QC procedures; Water Quality Portal visible."
RESULT_QUALITY,REJECTED,Rejected,Reported result has not been accepted; Water Quality Portal visible.
RESULT_QUALITY,UNVALIDATED,Unreviewed,Reported result has not been reviewed; Water Quality Portal visible.
RESULT_QUALITY,VALIDATED,Validated,Reported result has been verified and reviewed; Water Quality Portal visible.
RESULT_QUALITY,ESTIMATED,Estimated,"Approximation, educated guess, or projection of a quantity based on experience and/or information available at the time, and the cheapest (and least accurate) type of modeling."
STATISTIC,MAX,Maximum,"The maximum is a unique number for a given set of data. This number can be repeated, but there is only one maximum for a data set"
STATISTIC,MEAN,Mean,mean is the sum of all the numbers in the set divided by the amount of numbers in the set
STATISTIC,MIN,Minimum,the smallest or the least value in a given set of data.
STATISTIC,TOTAL,Sum,Use summation notation to express the sum of all numbers.
STATISTIC,INSTANT,Instantaneous,The rate of change at a particular moment. Same as the value of the derivative at a particular point.
OBSERVED_PROPERTY,Ag,Silver,; Request Date: 02-MAR-07
OBSERVED_PROPERTY,Al,Aluminum,; Request Date: 02-MAR-07
OBSERVED_PROPERTY,As,Arsenic,Nemi.gov; Request Date: 02-MAR-07
OBSERVED_PROPERTY,As,"Arsenic, Inorganic",Request Date: 23-Jul-14 (nps.gov cas# review)
OBSERVED_PROPERTY,AT,"Temperature, air",The air temperature.; Request Date: 02-MAR-07
OBSERVED_PROPERTY,B,Boron,Nemi.gov; Request Date: 02-MAR-07
OBSERVED_PROPERTY,Ba,Barium,; Request Date: 02-MAR-07
OBSERVED_PROPERTY,Be,Beryllium,; Request Date: 02-MAR-07
OBSERVED_PROPERTY,Br,Bromide,Nemi.gov; Request Date: 22-JUL-14
OBSERVED_PROPERTY,Ca,Calcium,; Request Date: 02-MAR-07
OBSERVED_PROPERTY,Cd,Cadmium,; Request Date: 02-MAR-07
OBSERVED_PROPERTY,Cl,Chloride,Nemi.gov; Request Date: 02-MAR-07
OBSERVED_PROPERTY,Co,Cobalt,; Request Date: 22-JUL-14
OBSERVED_PROPERTY,CO2,Carbon dioxide,; Request Date: 02-MAR-07
OBSERVED_PROPERTY,Cr,Chromium,; Request Date: 02-MAR-07
OBSERVED_PROPERTY,Cr,Chromium(VI),; Request Date: 02-MAR-07
OBSERVED_PROPERTY,Cs,Cesium,; Request Date: 22-JUL-14
OBSERVED_PROPERTY,Cu,Copper,; Request Date: 02-MAR-07
OBSERVED_PROPERTY,d13C,Carbon Delta 13,1; Request Date: 14-JUN-18
OBSERVED_PROPERTY,DO,Dissolved oxygen (DO),; Request Date: 02-MAR-07
