attr_type,basin3d_vocab,datasource_vocab,datasource_desc
OBSERVED_PROPERTY:SAMPLING_MEDIUM,PH:WATER,00400,"pH, water, unfiltered, field, standard units"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,RDC:WATER,00060,"Discharge, cubic feet per second"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,WLE:WATER,63161,"Stream water level elevation above NAVD 1988, in meters"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,WT:WATER,00010,"Temperature, water, degrees Celsius"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,DO:WATER,00300,"Dissolved oxygen, water, unfiltered, lab, milligrams per liter"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,SC:WATER,00095,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,TDS:WATER,70301,"Dissolved solids, water, filtered, sum of constituents, milligrams per liter"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,DIN:WATER,00631,"Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,DTN:WATER,00602,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, filtered, milligrams per liter"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,NH4:WATER,00608,"Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,POC:WATER,00680,"Organic carbon, water, unfiltered, milligrams per liter"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,DOC:WATER,00681,"Organic carbon, water, filtered, milligrams per liter"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,P:WATER,00666,"Phosphorus, water, filtered, milligrams per liter as phosphorus"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,Na:WATER,00930,"Sodium, water, filtered, milligrams per liter"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,K:WATER,00935,"Potassium, water, filtered, milligrams per liter"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,Mg:WATER,00925,"Magnesium, water, filtered, milligrams per liter"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,Ca:WATER,00915,"Calcium, water, filtered, milligrams per liter"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,Si:WATER,01140,"Silicon, water, filtered, micrograms per liter"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,Cl:WATER,00940,"Chloride, water, filtered, milligrams per liter"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,SO4:WATER,00945,"Sulfate, water, filtered, milligrams per liter"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,NO3:WATER,00618,"Nitrate, water, filtered, milligrams per liter as nitrogen"
OBSERVED_PROPERTY:SAMPLING_MEDIUM,NO2:WATER,00613,"Nitrite, water, filtered, milligrams per liter as nitrogen"
